[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:07] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:08] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:08] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:08] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:08] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:08] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 09:06:44] delete-permission-role.INFO: Successfully delete  ["Permission role role_id402"] []
[2016-05-24 15:51:48] user-add.ERROR: Undefined index: branch_id ["Username: new user"] []
[2016-05-24 15:55:20] user-add.INFO: Successfully added! ["Username: dsf"] []
[2016-05-24 10:00:47] destroy-user.INFO: Successfully Deleted!change status to cancel ["User id:7"] []
[2016-05-24 10:29:34] store-permission-role.INFO: successfully added ["Permission role role_id2"] []
[2016-05-24 10:29:34] store-permission-role.INFO: successfully added ["Permission role role_id2"] []
[2016-05-24 10:29:34] store-permission-role.INFO: successfully added ["Permission role role_id2"] []
